Floor carpet,地板地毯,Decoration materials,装修建材
Curtains,窗帘,Decoration materials,装修建材
Glass Doors and Windows,门窗玻璃,Decoration materials,装修建材
Iron Railings,铁门栏杆,Decoration materials,装修建材
Paint,油漆,Decoration materials,装修建材
Stone Tiles,石材瓷砖,Decoration materials,装修建材
Renovated Building,装修建房,Reconstruction,改建
Interior Design,室内设计,Reconstruction,改建
Gyprock Interval House,Gyprock间隔房,Reconstruction,改建
Furniture Store,家具店,Indoor,室内
Cabinet Installation,橱柜安装,Indoor,室内
Insecticidal,杀虫,Indoor,室内
Loaded Lock Unlock,装锁开锁,Indoor,室内
Cleaning Company,清洁公司,Indoor,室内
Bedding,床上用品,Indoor,室内
Bathroom Ware,浴室洁具,Bath & Kitchen,浴厨
Kitchen Utensils,厨房用具,Bath & Kitchen,浴厨
Water Gas,水务煤气,Bath & Kitchen,浴厨
Household Appliances,家用电器,Electric,电器
Electrician Maintenance,电工维修,Electric,电器
Satellite TV,卫星电视,Electric,电器
